2026-05-12 10:53:30,747 | INFO | OK | Issue 751753 | 2026-05-12 | 6.0h
2026-05-12 10:53:30,909 | INFO | OK | Issue 751754 | 2026-05-12 | 3.0h
2026-05-12 10:53:31,064 | INFO | OK | Issue 751753 | 2026-05-11 | 6.0h
2026-05-12 10:53:31,228 | INFO | OK | Issue 751754 | 2026-05-11 | 3.0h
2026-05-12 10:53:31,400 | INFO | OK | Issue 751753 | 2026-05-08 | 6.0h
2026-05-12 10:53:31,546 | INFO | OK | Issue 751754 | 2026-05-08 | 3.0h
2026-05-12 10:53:31,680 | INFO | OK | Issue 751753 | 2026-05-07 | 6.0h
2026-05-12 10:53:31,829 | INFO | OK | Issue 751754 | 2026-05-07 | 3.0h
2026-05-12 10:53:31,967 | ERROR | FAIL | Issue 751753 | 2026-05-06 | Date : As per new Time log & Leave Application policy, the system will not allow you to enter timelogs for the selected date.
2026-05-12 10:53:32,128 | ERROR | FAIL | Issue 751754 | 2026-05-06 | Date : As per new Time log & Leave Application policy, the system will not allow you to enter timelogs for the selected date.
2026-05-12 10:53:32,327 | ERROR | FAIL | Issue 751753 | 2026-05-05 | Date : As per new Time log & Leave Application policy, the system will not allow you to enter timelogs for the selected date.
2026-05-12 10:53:32,474 | ERROR | FAIL | Issue 751754 | 2026-05-05 | Date : As per new Time log & Leave Application policy, the system will not allow you to enter timelogs for the selected date.
2026-05-12 10:53:32,611 | ERROR | FAIL | Issue 751753 | 2026-05-04 | Date : As per new Time log & Leave Application policy, the system will not allow you to enter timelogs for the selected date.
2026-05-12 10:53:32,770 | ERROR | FAIL | Issue 751754 | 2026-05-04 | Date : As per new Time log & Leave Application policy, the system will not allow you to enter timelogs for the selected date.
