2025-06-27 01:13:53,031 | INFO | ⏳ Updating 'OSV-4428: KPIT_TC_DRT_BTA_018'...
2025-06-27 01:13:53,032 | INFO |   🔄 Updating fields for OSV-4428: 'KPIT_TC_DRT_BTA_018...
2025-06-27 01:13:53,033 | INFO |     Failure Category : Test Env issue
2025-06-27 01:13:53,034 | INFO |     Failure Sub Category : Automation Setup malfunction
2025-06-27 01:13:53,035 | INFO |     Root Cause Details : While connecting iPhone as BT, Screen transited from BT connection screen to Settings home screen. Hence iPhone BT connection failed.
2025-06-27 01:13:53,035 | INFO |     Fixation Performed : Re-builded the test applications on iPhone, executed in daytime, result : Pass, Keeping under observation.
2025-06-27 01:13:53,931 | INFO |   ✅ Updated fields for OSV-4428: 'KPIT_TC_DRT_BTA_018.
2025-06-27 01:13:53,932 | INFO |   🔄 Commenting on OSV-4428: 'KPIT_TC_DRT_BTA_018...
2025-06-27 01:13:53,932 | INFO |     Date                 : 25th June 2025
2025-06-27 01:13:53,932 | INFO |     Analysis Done By     : Chandrakant
2025-06-27 01:13:53,933 | INFO |     Result               : Fail
2025-06-27 01:13:53,933 | INFO |     Failure Category     : Test Env issue
2025-06-27 01:13:53,933 | INFO |     Failure Sub Category : Automation Setup malfunction
2025-06-27 01:13:53,933 | INFO |     Root Cause Details   : While connecting iPhone as BT, Screen transited from BT connection screen to Settings home screen. Hence iPhone BT connection failed.
2025-06-27 01:13:53,934 | INFO |     Fixation Performed   : Re-builded the test applications on iPhone, executed in daytime, result : Pass, Keeping under observation.
2025-06-27 01:13:57,834 | INFO |   ✅ Commented on OSV-4428: 'KPIT_TC_DRT_BTA_018.

2025-06-27 01:13:58,150 | INFO | ⏳ Updating 'OSV-4416: KPIT_TC_DRT_BTA_053'...
2025-06-27 01:13:58,151 | INFO |   🔄 Updating fields for OSV-4416: 'KPIT_TC_DRT_BTA_053...
2025-06-27 01:13:58,151 | INFO |     Failure Category : Test Env issue
2025-06-27 01:13:58,151 | INFO |     Failure Sub Category : Automation Setup malfunction
2025-06-27 01:13:58,152 | INFO |     Root Cause Details : While connecting iPhone as BT, Screen transited from BT connection screen to Settings home screen. Hence iPhone BT connection failed.
2025-06-27 01:13:58,152 | INFO |     Fixation Performed : Re-builded the test applications on iPhone, executed in daytime, result : Pass, Keeping under observation.
2025-06-27 01:13:59,057 | INFO |   ✅ Updated fields for OSV-4416: 'KPIT_TC_DRT_BTA_053.
2025-06-27 01:13:59,058 | INFO |   🔄 Commenting on OSV-4416: 'KPIT_TC_DRT_BTA_053...
2025-06-27 01:13:59,058 | INFO |     Date                 : 25th June 2025
2025-06-27 01:13:59,059 | INFO |     Analysis Done By     : Chandrakant
2025-06-27 01:13:59,059 | INFO |     Result               : Fail
2025-06-27 01:13:59,059 | INFO |     Failure Category     : Test Env issue
2025-06-27 01:13:59,060 | INFO |     Failure Sub Category : Automation Setup malfunction
2025-06-27 01:13:59,060 | INFO |     Root Cause Details   : While connecting iPhone as BT, Screen transited from BT connection screen to Settings home screen. Hence iPhone BT connection failed.
2025-06-27 01:13:59,061 | INFO |     Fixation Performed   : Re-builded the test applications on iPhone, executed in daytime, result : Pass, Keeping under observation.
2025-06-27 01:13:59,535 | INFO |   ✅ Commented on OSV-4416: 'KPIT_TC_DRT_BTA_053.

2025-06-27 01:13:59,884 | INFO | ⏳ Updating 'OSV-4409: KPIT_TC_DRT_HMI_001'...
2025-06-27 01:13:59,884 | INFO |   🔄 Updating fields for OSV-4409: 'KPIT_TC_DRT_HMI_001...
2025-06-27 01:13:59,885 | INFO |     Failure Category : Test Env issue
2025-06-27 01:13:59,885 | INFO |     Failure Sub Category : Automation Setup malfunction
2025-06-27 01:13:59,885 | INFO |     Root Cause Details : While connecting iPhone as BT, Screen transited from BT connection screen to Settings home screen. Hence iPhone BT connection failed.
2025-06-27 01:13:59,885 | INFO |     Fixation Performed : Re-builded the test applications on iPhone, executed in daytime, result : Pass, Keeping under observation.
2025-06-27 01:14:00,767 | INFO |   ✅ Updated fields for OSV-4409: 'KPIT_TC_DRT_HMI_001.
